gap_id,filename,current_status,current_completion,verdict,recommended_action,evidence_summary,related_gaps,notes
GAP-040,unclassified/closed/GAP-040-support-impersonation-tools.md,OPEN,0,UNCLEAR,Move to closed folder OR mark DONE if confirmed shipped,File already in closed/ folder but status still 🔵 OPEN inside — CSV does not have row. Folder placement disagrees with body status,GAP-023,Possible orphan — placed in closed/ but no closure log entry. Needs human triage to determine if shipped.
GAP-050,unclassified/closed/GAP-050-persona-based-business-review.md,DONE,100,KEEP_CURRENT,No action — already closed,Status 🟢 DONE 2026-05-11 framework AC 100% shipped 2026-04-29 PR #653; execution delegated to GAP-152,GAP-049 GAP-151 GAP-152,Properly closed with PARTIAL exit-ramp documentation
GAP-116,unclassified/closed/GAP-116-pii-scrubbing-logs.md,DONE,100,KEEP_CURRENT,No action — already closed,Status 🟢 DONE 2026-05-11 infrastructure 5/6 AC shipped Wave 25 Bucket B PR #837; AC #4 follow-up GAP-116-followup,GAP-116-followup,Proper closure with delegated follow-up
GAP-486,unclassified/closed/GAP-486-post-merge-sync-completeness-rule.md,DONE,100,KEEP_CURRENT,No action — already closed,Rule + Rule 17 detector + 3 fixtures + PR template shipped Wave 65 Bucket B,,Properly closed
GAP-487,unclassified/closed/GAP-487-memory-md-index-orphan-files.md,DONE,100,KEEP_CURRENT,No action — already closed,DONE Wave 65 88=88 files=refs 0 orphans symptom self-corrected,,Properly closed
GAP-488,unclassified/closed/GAP-488-wave-history-orphan-completed-plans.md,DONE,100,KEEP_CURRENT,No action — already closed,Wave 65 Bucket A 64 stub entries backfilled,,Properly closed
GAP-494,unclassified/closed/GAP-494-lighthouse-ci-pnpm-cache-race.md,DONE,100,KEEP_CURRENT,No action — already closed,DONE 2026-05-12 Wave 66 Bucket 0,,Properly closed
GAP-495,unclassified/closed/GAP-495-vercel-rate-limit-noise-on-non-frontend-prs.md,DONE,100,KEEP_CURRENT,No action — already closed,DONE 2026-05-14 Phase 2 git.deploymentEnabled whitelist; Phase 3 MOOT,,Properly closed
GAP-470,phase-1.5-paid/closed/GAP-470-k8s-deployments-runasnonroot-security-context.md,DONE,100,KEEP_CURRENT,No action — already closed,Wave 61 Bucket E SHIPPED PR #1177,GAP-474,Properly closed
GAP-001,unclassified/GAP-001-kiteclass-gateway-decision.md,OPEN,0,KEEP_CURRENT,Keep as long-pending architecture decision,P2 architecture decision — needs ADR; redundancy with kite-gateway not resolved,,Architecture cleanup; deferrable to consolidation wave
GAP-011,unclassified/GAP-011-template-library-curation-plan.md,PLANNED,10,RE-PHASE,Re-phase to phase-1.5-paid or phase-2; not P0 for Phase 1 BETA,AI Branding minimal scope per release-1-plan §6.1; template curation P0 framing stale. Wave 71+ AI Branding deferred,GAP-225,Currently in unclassified/ but feature-tier paid; should move
GAP-020,unclassified/GAP-020-wizard-state-persistence.md,WONTFIX,0,KEEP_CURRENT,No action — already WONTFIX,audit-2026-05-11: AI Wizard advanced UX deferred Phase 1 minimal scope,,Properly WONTFIX
GAP-045,unclassified/GAP-045-template-marketplace.md,WONTFIX,0,KEEP_CURRENT,No action — already WONTFIX,audit-2026-05-11: forever-defer community feature post-GA,,Properly WONTFIX
GAP-049,unclassified/GAP-049-business-logic-correctness-review.md,PARTIAL,40,KEEP_CURRENT,No change; Phase 2 = GAP-156,Phase 1 rule+matrix shipped PR #652; Phase 2 audit+sign-offs = GAP-156,GAP-156 GAP-150 GAP-151 GAP-152,PARTIAL by design — clean split
GAP-064,unclassified/GAP-064-scorm-xapi-compliance.md,WONTFIX,0,KEEP_CURRENT,No action — already WONTFIX,audit-2026-05-11: forever-defer enterprise LMS feature,,Properly WONTFIX
GAP-102,unclassified/GAP-102-guides-completion-adr-kickoff.md,PARTIAL,75,KEEP_CURRENT,Track Part 1 P1 batch (3 guides) Wave 6+,Part 2 ADR + Part 1 P2 shipped PRs #346/#348/#350/#352; P1 batch remaining,,Docs maintenance backlog
