gap_id,filename,current_status,current_completion,verdict,recommended_action,evidence_summary,related_gaps,notes
GAP-114,phase-1-beta/closed/GAP-114-structured-json-logging.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 6/6 [x]; Log cites Wave 60 Bucket C + Wave 25 Bucket B; live smoke scope-cut to GAP-115 per §Out-of-scope (proper PARTIAL exit ramp Option B)",GAP-115;GAP-116,Clean closure pattern; scope-cut documented
GAP-137,phase-1-beta/closed/GAP-137-bulk-import-frontend-ui-missing.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 7/7 [x]; Wave 60 Bucket B shipped; 7 component tests pass; verification cited",GAP-051;GAP-109,Out-of-scope items properly documented
GAP-144,phase-1-beta/closed/GAP-144-alertmanager-production-receivers.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 7/7 [x]; Wave 86 Bucket H SNS-direct adaptation closes P0 BLOCKER; Helm test scope-cut to Phase 1.5+ EKS",GAP-111;GAP-120;GAP-121,Adaptation path documented; runbook is verification artifact
GAP-369,phase-1-beta/closed/GAP-369-production-dns-domain-setup.md,DONE,100,VERIFIED_DONE,Keep DONE,"Phase 1 BETA AC 6/6 [x] (kitehub.me Path C); Phase 2 .vn explicitly DEFERRED with new gap-filing condition documented",GAP-458;GAP-482,Phase 2 scope properly carved out
GAP-372,phase-1-beta/closed/GAP-372-beta-tenant-invite-mechanism.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 10/10 [x]; Wave 45 closure shipped; SES production approval tracked in ROADMAP §🚀 separately",GAP-370,Clean closure
GAP-376,phase-1-beta/closed/GAP-376-production-data-seed.md,PARTIAL,90,FALSE_DONE,Revert to PARTIAL — file misplaced in closed/,"Status header reads PARTIAL; AC 10/11 [x] + 1 [ ] (real production seed = user-executed step pending); placement in closed/ contradicts header",GAP-379,Filesystem location doesn't match Status field
GAP-394,phase-1-beta/closed/GAP-394-phase-1-beta-account-prep-checklist.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 12/12 [x]; Wave 84 Bucket C 3 final runbooks shipped; CSV sync confirmed",,7-runbook closure
GAP-398,phase-1-beta/closed/GAP-398-docker-build-kitehub-services-6-modules.md,DONE,100,VERIFIED_DONE,Keep DONE,"AC 6/6 [x]; Wave 66 Bucket Z verified ECR push live; Tier 1 read-only state-check evidence cited",GAP-395,Clean closure with AWS verification
GAP-399,phase-1-beta/closed/GAP-399-ecr-region-pin-ap-southeast-1.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 66 Bucket Z state-check verified; ECR 10 repos in ap-southeast-1",GAP-398,Region pin clean
GAP-406,phase-1-beta/closed/GAP-406-pen-test-light-owasp-top-10.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 60 Bucket A OWASP audit shipped 76/100; 3 follow-up gaps filed (GAP-470/471/472)",GAP-470;GAP-471;GAP-472,Follow-up gaps properly filed
GAP-414,phase-1-beta/closed/GAP-414-ec2-right-sizing-monthly-review.md,DONE,100,AMBIGUOUS_DONE,Audit needed — apply deferred to coordinator,"Wave 84 Bucket G shipped code/terraform/runbook but Status header says 'apply deferred to coordinator'; possible PARTIAL semantics",,Terraform apply pending verification
GAP-423,phase-1-beta/closed/GAP-423-ses-runbook-vietnamese-overlay.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 84 Bucket D Vietnamese overlay shipped; AC verified per gap-done-discipline §2",GAP-424,Sister to GAP-424
GAP-424,phase-1-beta/closed/GAP-424-statuspage-runbook-vietnamese-overlay.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 84 Bucket E shipped; sister gap pattern with GAP-423",GAP-423,Clean closure
GAP-430,phase-1-beta/closed/GAP-430-backup-alert-metric-mismatch.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 60 Bucket C fix-time state-check Option B; promtool fixture properly scope-cut to GAP-435",GAP-435,Proper Option B PARTIAL exit
GAP-431,phase-1-beta/closed/GAP-431-helm-startupprobe-missing.md,DONE,100,VERIFIED_DONE,Keep DONE,"Wave 84 Bucket F helm lint+template verified 7/7 services startupProbe; k8s live test scope-cut to GAP-431b",GAP-431b,Proper scope-cut to follow-up
