gap_id,filename,current_status,current_completion,verdict,recommended_action,evidence_summary,related_gaps,notes
GAP-003,phase-2/GAP-003-ai-multi-tier-image-generation.md,OPEN,0,KEEP_CURRENT,No change,AI multi-tier image gen — genuine Phase 2 AI scope post-BETA,GAP-002,Deferred until Ollama GPU available
GAP-004,phase-2/GAP-004-template-based-image-composition.md,OPEN,0,KEEP_CURRENT,No change,Template-based composition — Phase 2 AI scope,GAP-003 GAP-011,Image composition not in BETA
GAP-006,phase-2/GAP-006-upgrade-to-gemma-4.md,OPEN,0,KEEP_CURRENT,No change,Gemma 4 upgrade explicitly DEFERRED 2026-04-28 until Ollama+Docker GPU,GAP-003,Status field already cites deferral
GAP-017,phase-2/GAP-017-ai-usage-billing-integration.md,OPEN,0,KEEP_CURRENT,No change,AI usage billing — Phase 2 monetization,GAP-005 GAP-026,Requires AI cost monitor first
GAP-019,phase-2/GAP-019-ai-observability-cost-monitoring.md,OPEN,0,KEEP_CURRENT,No change,AI observability — Phase 2 ops,GAP-017 GAP-115,Cost monitor post-BETA scale
GAP-022,phase-2/GAP-022-template-analytics-optimization.md,OPEN,0,KEEP_CURRENT,No change,Template analytics — Phase 2 product growth,GAP-011 GAP-004,Premium analytics post-BETA
GAP-024,phase-2/GAP-024-asset-lifecycle-storage-cleanup.md,OPEN,0,KEEP_CURRENT,No change,Asset lifecycle cleanup — Phase 2 storage ops,GAP-019,MinIO retention policy post-scale
GAP-025,phase-2/GAP-025-mobile-first-wizard-ux.md,OPEN,0,KEEP_CURRENT,No change,Mobile-first wizard — Phase 2 UX growth,GAP-272 GAP-287,P2/P3 mobile post-BETA
GAP-026,phase-2/GAP-026-trial-freemium-ai-mechanics.md,OPEN,0,KEEP_CURRENT,No change,Trial freemium AI quotas — Phase 2 monetization tuning,GAP-017,Post-BETA pricing
GAP-027,phase-2/GAP-027-multi-brand-per-tenant.md,OPEN,0,KEEP_CURRENT,No change,Multi-brand per tenant — Enterprise Phase 2 feature,GAP-068 GAP-071,Multi-campus support
