gap_id,filename,current_status,current_completion,verdict,recommended_action,evidence_summary,related_gaps,notes
GAP-005,phase-1-beta/GAP-005-ai-queue-fair-scheduling.md,IN_PROGRESS,40,KEEP_CURRENT,Keep IN_PROGRESS,Phase 1 MVP shipped Wave 3 (GAP-005a) 2026-04-18; Phase 2 production scale legitimately open,GAP-002,Status correctly tracks Phase 1/2 split per BE/AI roadmap
GAP-033,phase-1-beta/GAP-033-branding-version-history-rollback.md,PARTIAL,57,KEEP_CURRENT,Keep PARTIAL,Wave 4 PR #343 backend MVP shipped; 3/7 AC explicitly deferred (FE UI/diff/retention); follow-up not filed but scope clear in §Wave 4 partial,,Stale 2026-04-18; recommend file follow-up gap to break log-jam at convenience
GAP-043,phase-1-beta/GAP-043-performance-cache-stampede-protection.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 9-E stampede protection on BrandingPackage proxy shipped; Wave 9.5-D fan-out reverted due to Redis serializer issue; documented blocker,,Needs serializer harden follow-up to unblock fan-out
GAP-063,phase-1-beta/GAP-063-sms-zalo-notification-integration.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 18a Bucket B Phase 1 email-channel shipped; Phase 2 deferred to GAP-063b sister,GAP-063b,Phase 2 sister gap explicitly noted as future scope
GAP-080,phase-1-beta/GAP-080-kitehub-dashboard-loading-ux.md,OPEN,0,KEEP_CURRENT,Keep OPEN,No log entries beyond detection 2026-04-16; P2 backlog,,P2 backlog item; no action yet
GAP-112,phase-1-beta/GAP-112-distributed-tracing-missing.md,PARTIAL,60,KEEP_CURRENT,Keep PARTIAL,Wave 55 Bucket B PR #1125 shipped 3/5 AC; 2/5 blocked on Tempo backend GAP-111 Phase 2,GAP-111 GAP-145,Live verify requires Tempo backend
GAP-113,phase-1-beta/GAP-113-fe-error-tracking-missing.md,OPEN,0,KEEP_CURRENT,Keep OPEN,Single detection log 2026-04-19; no follow-up activity,,P2 ops-readiness backlog
GAP-115,phase-1-beta/GAP-115-log-aggregation-pipeline.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 41 Bucket F Phase 1 dashboard+runbook shipped 2026-05-08; Phase 2 backend tracked GAP-434,GAP-434,Properly split via Phase 2 sister gap
GAP-116-followup-existing-code-pii-audit,phase-1-beta/GAP-116-followup-existing-code-pii-audit.md,OPEN,0,KEEP_CURRENT,Keep OPEN,Filed Wave 25 Bucket B to capture deferred AC #4 of parent GAP-116,GAP-116,P2 follow-up correctly tracked
GAP-117,phase-1-beta/GAP-117-restore-drill-test.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 2026-04-28 PR #632 shipped Phase 1+2; Phase 3 deferred GAP-257,GAP-257,Clean PARTIAL with explicit follow-up
GAP-127,phase-1-beta/GAP-127-frontend-code-splitting-bundle-analyzer.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 7-Perf Agent B shipped; remainder tracked GAP-236,GAP-236,Wave 7-Perf bundle work landed; remainder scoped to GAP-236
GAP-135,phase-1-beta/GAP-135-api-p95-latency-slos-undocumented.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave perf-D 2026-04-26 + Wave 41 Bucket F shipped 16 controllers + dashboard + alerts; ~13 controllers remain via GAP-239,GAP-239,Properly split via GAP-239 sister gap
GAP-138,phase-1-beta/GAP-138-kiteclass-landing-hero-duplicated-text.md,OPEN,0,KEEP_CURRENT,Keep OPEN,P1 UI copy bug from 2026-04-19 audit; stale,,Stale ~1 month; consider quick fix in next FE wave
GAP-139,phase-1-beta/GAP-139-parent-dashboard-mvp-placeholder.md,OPEN,0,KEEP_CURRENT,Keep OPEN,Wave 5 widgets needed; mentioned Wave 18b1 found inline-fetch skeleton via state-check,,Persona partial dashboard P1 feature gap
GAP-140,phase-1-beta/GAP-140-form-select-placeholder-english-fallback.md,OPEN,0,KEEP_CURRENT,Keep OPEN,P2 i18n placeholder leak; stale 2026-04-19,,Stale P2 i18n cleanup
GAP-141,phase-1-beta/GAP-141-register-student-date-input-locale-forced.md,OPEN,0,KEEP_CURRENT,Keep OPEN,P2 i18n date input; stale 2026-04-19,,Stale P2 i18n bug
GAP-142,phase-1-beta/GAP-142-parent-invite-native-select-inconsistent.md,OPEN,0,KEEP_CURRENT,Keep OPEN,P2 design consistency Shadcn vs native select; stale 2026-04-19,,Stale P2 UI consistency
GAP-145,phase-1-beta/GAP-145-loki-tracing-stack.md,OPEN,0,DUPLICATE,Mark duplicate of GAP-434 + GAP-111/112,Split from GAP-111 follow-up 2026-04-20; scope now duplicated by GAP-434 (Loki Phase 2) + GAP-111/112 (Tempo tracing),GAP-111 GAP-112 GAP-434,Scope consolidation candidate
GAP-191,phase-1-beta/GAP-191-domain-registration-dns-strategy.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Wave 9-B PARTIAL — strategy + ADR-018 + runbook + Terraform skeleton shipped; execution deferred,,Strategy-side DONE; execution legitimately deferred to infra wave
GAP-197,phase-1-beta/GAP-197-attendance-calendar-mode-ui.md,PARTIAL,50,KEEP_CURRENT,Keep PARTIAL,Component shipped PR 3.8.1; verification + variants outstanding,,Scope-revised properly via state-check Wave 11
GAP-203,phase-1-beta/GAP-203-pom-cve-transitive-deps.md,IN_PROGRESS,40,UPDATE_SCOPE,Adjust completion to 90 or flip PARTIAL,PR #424 merged 2026-04-21 closing 3 HIGH + 4 MEDIUM CVEs via dependencyManagement; verified mvn dependency:tree; only alerts-show-empty verify remains,GAP-202,Strong activity beyond current 40% — bump completion_pct
GAP-204,phase-1-beta/GAP-204-npm-security-backlog.md,PARTIAL,75,KEEP_CURRENT,Keep PARTIAL,Wave 64 Bucket B Dependabot #1193 next 15.5.15→15.5.18 merged; 6 medium remain via auto-PR,,Active dep maintenance properly tracked
GAP-212,phase-1-beta/GAP-212-url-allowlist-test-flaky-dns.md,OPEN,0,KEEP_CURRENT,Keep OPEN,P1 test fixture fix — blocks every Core CI run; needs scope check before fix,,Pre-existing flake; should be quick fix
GAP-213,phase-1-beta/GAP-213-spring-cloud-bom-resolution.md,OPEN,0,KEEP_CURRENT,Keep OPEN,Spring Cloud BOM blocker for Dependabot Boot bumps; 2 PRs closed pending,,Blocks Spring-touching Dependabot path for 2 services
GAP-215,phase-1-beta/GAP-215-branding-service-cacheable.md,OPEN,0,UNCLEAR,Verify post-Wave-5/6 closure,Filed 2026-04-25 Wave 5 audit P0-1; blocks Sub-PR 5.6b; need to check if Sub-PR 5.6b shipped subsequently,,Was blocker for Sub-PR 5.6b; status worth verifying
